,word_list,defin,example
100,feel,undergo an emotional sensation or be in a particular state of mind,"['She felt resentful', 'He felt regret']"
101,feel,"come to believe on the basis of emotion, intuitions, or indefinite grounds","[""I feel that he doesn't like me"", 'I find him to be obnoxious', 'I found the movie rather entertaining']"
102,feel,"perceive by a physical sensation, e.g., coming from the skin or muscles","['He felt the wind', 'She felt an object brushing her arm', 'He felt his flesh crawl', 'She felt the heat when she got out of the car']"
103,feel,"be conscious of a physical, mental, or emotional state","['My cold is gone--I feel fine today', 'She felt tired after the long hike', 'She felt sad after her loss']"
104,feel,have a feeling or perception about oneself in reaction to someone's behavior or attitude,"['She felt small and insignificant', 'You make me feel naked', 'I made the students feel different about themselves']"
105,feel,"undergo passive experience of:""We felt the effects of inflation""","['her fingers felt their way through the string quartet', 'she felt his contempt of her']"
106,feel,be felt or perceived in a certain way,"['The ground feels shaky', 'The sheets feel soft']"
107,feel,grope or feel in search of something,['He felt for his wallet']
108,feel,examine by touch,"['Feel this soft cloth!', 'The customer fingered the sweater']"
109,feel,examine (a body part) by palpation,"[""The nurse palpated the patient's stomach"", 'The runner felt her pulse']"
110,feel,find by testing or cautious exploration,['He felt his way around the dark room']
111,feel,produce a certain impression,['It feels nice to be home again']
112,feel,pass one's hands over the sexual organs of,['He felt the girl in the movie theater']
113,people,(plural) any group of human beings (men or women or children) collectively,"['old people', 'there were at least 200 people in the audience']"
114,people,the body of citizens of a state or country,['the Spanish people']
115,people,members of a family line,"['his people have been farmers for generations', 'are your people still alive?']"
116,people,the common people generally,"['separate the warriors from the mass', 'power to the people']"
117,people,fill with people,['Stalin wanted to people the empty steppes']
118,people,furnish with people,['The plains are sparsely populated']
119,learn,gain knowledge or skills,"['She learned dancing from her sister', 'I learned Sanskrit', 'Children acquire language at an amazing rate']"
120,learn,"get to know or become aware of, usually accidentally","['I learned that she has two grown-up children', 'I see that you have been promoted']"
121,learn,commit to memory; learn by heart,['Have you memorized your lines for the play yet?']
122,learn,be a student of a certain subject,['She is reading for the bar exam']
123,learn,impart skills or knowledge to,"['I taught them French', 'He instructed me in building a boat']"
124,learn,"find out, learn, or determine with certainty, usually by making an inquiry or other effort","['I want to see whether she speaks French', 'See whether it works', 'find out if he speaks Russian', 'Check whether the train leaves on time']"
125,table,a set of data arranged in rows and columns,['see table 1']
126,table,a piece of furniture having a smooth flat top that is usually supported by one or more vertical legs,['it was a sturdy table']
127,table,a piece of furniture with tableware for a meal laid out on it,['I reserved a table at my favorite restaurant']
128,table,flat tableland with steep edges,['the tribe was relatively safe on the mesa but they had to descend into the valley for water']
129,table,a company of people assembled at a table for a meal or game,['he entertained the whole table with his witty remarks']
130,table,food or meals in general,"['she sets a fine table', 'room and board']"
131,table,hold back to a later time,"[""let's postpone the exam""]"
132,table,arrange or enter in tabular form,[]
133,book,a written work or composition that has been published (printed on pages bound together),['I am reading a good book on economics']
134,book,physical objects consisting of a number of pages bound together,['he used a large book as a doorstop']
135,book,a compilation of the known facts regarding something or someone,"[""Al Smith used to say, `Let's look at the record'"", 'his name is in all the record books']"
136,book,a written version of a play or other dramatic composition; used in preparing for a performance,[]
137,book,a record in which commercial accounts are recorded,['they got a subpoena to examine our books']
138,book,a collection of playing cards satisfying the rules of a card game,[]
139,book,a collection of rules or prescribed standards on the basis of which decisions are made,['they run things by the book around here']
140,book,the sacred writings of Islam revealed by God to the prophet Muhammad during his life at Mecca and Medina,[]
141,book,the sacred writings of the Christian religions,['he went to carry the Word to the heathen']
142,book,a major division of a long written composition,['the book of Isaiah']
143,book,a number of sheets (ticket or stamps etc.) bound together on one edge,['he bought a book of stamps']
144,book,engage for a performance,['Her agent had booked her for several concerts in Tokyo']
145,book,arrange for and reserve (something for someone else) in advance,"['reserve me a seat on a flight', 'The agent booked tickets to the show for the whole family', ""please hold a table at Maxim's""]"
146,book,record a charge in a police register,['The policeman booked her when she tried to solicit a man']
147,book,register in a hotel booker,[]
