,trigram,freq
72035,"('compromise_NOUN', 'one_NUM', 'detail_NOUN')",1
69974,"('cast_NOUN', 'give_VERB', 'comic_ADJ')",1
70068,"('twist_NOUN', 'good_VERB', 'screenwriter_NOUN')",1
71924,"('car_NOUN', ""'s_PART"", 'make_NOUN')",1
70086,"('horror_ADJ', 'movy_NOUN', 'Scary_ADJ')",1
70087,"('movy_NOUN', 'Scary_ADJ', 'movy_NOUN')",1
71981,"('professional_ADJ', 'look_VERB', 'camera_NOUN')",1
71988,"('friend_NOUN', 'take_VERB', 'turn_NOUN')",1
71951,"('car_NOUN', 'sure_ADJ', 'nobody_NOUN')",1
72178,"('head_NOUN', 'cheek_ADJ', 'flaming_NOUN')",1
72157,"('diplomat_NOUN', 'arm_ADJ', 'dealer_NOUN')",1
72156,"('East_ADJ', 'diplomat_NOUN', 'arm_ADJ')",1
72215,"('proof_NOUN', 'glass_NOUN', 'Nice_NOUN')",1
72221,"('good_ADJ', 'old_ADJ', 'fashion_ADJ')",1
72210,"('armor_NOUN', 'four_DET', 'thousand_NOUN')",1
72208,"('hazardous_ADJ', 'body_ADJ', 'armor_NOUN')",1
72222,"('old_ADJ', 'fashion_ADJ', 'bulletproof_NOUN')",1
69884,"('thought_NOUN', 'every_DET', 'sound_NOUN')",1
69886,"('sound_NOUN', 'every_DET', 'touch_NOUN')",1
71620,"('back_ADJ', 'pocket_NOUN', 'right_ADJ')",1
71613,"('black_NOUN', 'credit_NOUN', 'card_NOUN')",1
71612,"('shiny_ADJ', 'black_NOUN', 'credit_NOUN')",1
71607,"('Ivy_NOUN', 'League_ADP', 'college_NOUN')",1
71656,"('brand_NOUN', 'new_ADJ', 'kayak_NOUN')",1
70322,"('car_NOUN', 'several_ADJ', 'city_NOUN')",1
70341,"('transport_NOUN', 'daily_ADJ', 'commuter_NOUN')",1
71854,"('poofy_NOUN', 'white_ADP', 'dress_NOUN')",1
71865,"('staid_NOUN', 'respectable_ADJ', 'dull_ADJ')",1
71868,"('concept_NOUN', 'like_ADP', 'husband_NOUN')",1
71866,"('respectable_ADJ', 'dull_ADJ', 'concept_NOUN')",1
70166,"('seedy_NOUN', 'motel_NOUN', 'call_ADJ')",1
70157,"('movie_ADJ', 'called_ADJ', 'Psycho_NOUN')",1
71830,"('fiance_NOUN', 'wedding_VERB', 'husband_NOUN')",1
70168,"('call_ADJ', 'Bates_PROPN', 'Motel_NOUN')",1
70181,"('mother_NOUN', 'Strange_PROPN', 'thing_NOUN')",1
71828,"('word_NOUN', 'like_ADP', 'fiance_NOUN')",1
77195,"('Jasper_NOUN', ""'s_PART"", 'medium_NOUN')",1
77193,"('accurate_ADJ', 'prediction_NOUN', 'Jasper_NOUN')",1
77192,"('uncannily_ADJ', 'accurate_ADJ', 'prediction_NOUN')",1
77148,"('honey_NOUN', 'hair_DET', 'silver_NOUN')",1
77283,"('vegetarian_NOUN', 'vampire_ADJ', 'diet_NOUN')",1
77321,"('room_NOUN', 'bleach_VERB', 'pale_NOUN')",1
76995,"('ear_NOUN', 'goose_ADJ', 'bumps_NOUN')",1
77656,"('fragile_NOUN', 'self_ADJ', 'esteem_NOUN')",1
77408,"('peaceful_NOUN', 'relax_ADJ', 'feeling_NOUN')",1
77348,"('whole_ADJ', 'marriage_NOUN', 'ordeal_NOUN')",1
77369,"('moment_NOUN', 'expect_VERB', 'sleep_NOUN')",1
77365,"('mind_NOUN', 'wander_ADP', 'idly_NOUN')",1
77479,"('Cullen_NOUN', ""'_PART"", 'staircase_NOUN')",1
77472,"('sense_NOUN', 'overpower_ADP', 'practicality_NOUN')",1
76179,"('teeth_NOUN', 'start_VERB', 'chattering_NOUN')",1
76311,"('gratification_NOUN', 'I_PRON', 'knew_NOUN')",1
76267,"('breath_NOUN', 'wash_VERB', 'cold_NOUN')",1
76259,"('glass_NOUN', 'smooth_DET', 'lip_NOUN')",1
76706,"('woman_NOUN', ""'s_PART"", 'dream_NOUN')",1
78721,"('gray_NOUN', 'barren_ADJ', 'field_NOUN')",1
78702,"('dream_NOUN', 'one_NUM', 'moment_NOUN')",1
78829,"('circle_NOUN', 'around_ADP', 'something_NOUN')",1
78769,"('meeting_NOUN', 'still_ADV', 'human_ADJ')",1
78544,"('sister_NOUN', ""'_PART"", 'life_NOUN')",1
78493,"('sister_NOUN', ""'_PART"", 'mother_NOUN')",1
78639,"('mother_NOUN', ""'s_PART"", 'guilt_NOUN')",1
79144,"('already_ADJ', 'tidy_NOUN', 'room_NOUN')",1
79074,"('window_NOUN', 'turn_VERB', 'gray_NOUN')",1
79094,"('messy_NOUN', 'familiar_ADJ', 'room_NOUN')",1
78907,"('light_NOUN', 'brown_ADP', 'curl_NOUN')",1
78870,"('tall_NOUN', 'hissing_VERB', 'shroud_NOUN')",1
79043,"('bright_NOUN', 'bloodred_NUM', 'eye_NOUN')",1
78969,"('presence_NOUN', 'Break_VERB', 'free_ADJ')",1
77907,"('mother_NOUN', ""'s_PART"", 'story_NOUN')",1
77943,"('thousand_NOUN', 'different_ADJ', 'facet_NOUN')",1
78039,"('mother_NOUN', ""'s_PART"", 'name_NOUN')",1
77889,"('Cullen_NOUN', ""'_PART"", 'home_NOUN')",1
78329,"('gift_NOUN', 'one_NUM', 'touch_NOUN')",1
78327,"('mind_NOUN', 'read_NOUN', 'gift_NOUN')",1
78326,"('powerful_ADJ', 'mind_NOUN', 'read_NOUN')",1
78423,"('child_NOUN', 'become_VERB', 'unmentionable_ADJ')",1
78377,"('loveable_ADJ', 'well_ADV', 'coven_NOUN')",1
78410,"('old_ADJ', 'tradition_NOUN', 'friend_NOUN')",1
78409,"('coven_NOUN', 'old_ADJ', 'tradition_NOUN')",1
78186,"('Adorable_ADJ', 'two_NUM', 'year_NOUN')",1
78250,"('deep_NOUN', 'steadying_VERB', 'breath_NOUN')",1
78274,"('Italian_ADJ', 'vampire_NOUN', 'royalty_NOUN')",1
78223,"('spread_NOUN', 'like_ADP', 'fire_NOUN')",1
78220,"('story_NOUN', 'circulate_VERB', 'fear_ADJ')",1
74093,"('news_NOUN', 'make_VERB', 'perfect_ADJ')",1
74119,"('skin_NOUN', 'change_VERB', 'color_NOUN')",1
73924,"('Charlie_NOUN', ""'s_PART"", 'glower_NOUN')",1
73922,"('love_NOUN', 'right_ADV', 'Charlie_NOUN')",1
74375,"('Charlie_NOUN', ""'s_PART"", 'mouth_NOUN')",1
74542,"('Renee_NOUN', 'early_ADV', 'marriage_NOUN')",1
74540,"('doom_NOUN', 'tell_VERB', 'Renee_NOUN')",1
74373,"('war_NOUN', 'I_PRON', 'Charlie_NOUN')",1
74245,"('beat_NOUN', 'getting_VERB', 'marry_NOUN')",1
74368,"('old_ADJ', 'fashion_VERB', 'moral_NOUN')",1
74278,"('year_NOUN', 'old_ADJ', 'perfection_NOUN')",1
74277,"('seventeen_ADJ', 'year_NOUN', 'old_ADJ')",1
74291,"('fact_NOUN', 'necessitate_VERB', 'marriage_NOUN')",1
73353,"('kay_NOUN', 'sure_ADJ', 'thing_NOUN')",1
73351,"('hi_NOUN', ""'_PART"", 'kay_NOUN')",1
73339,"('missing_NOUN', 'best_ADJ', 'man_NOUN')",1
73334,"('link_NOUN', 'however_ADV', 'tenuous_ADJ')",1
73069,"('name_NOUN', 'let_VERB', 'alone_ADJ')",1
73150,"('home_NOUN', 'Bella_PROPN', 'Sorry_NOUN')",1
73655,"('uniform_NOUN', 'still_ADV', 'arme_ADJ')",1
73644,"('tousle_ADJ', 'bronze_NOUN', 'hair_NOUN')",1
73752,"('back_ADJ', 'ramrod_NOUN', 'straight_NOUN')",1
73766,"('everything_NOUN', ""'s_PART"", 'okay_NOUN')",1
73764,"('load_ADJ', 'silence_NOUN', 'everything_NOUN')",1
73709,"('Charlie_NOUN', ""'s_PART"", 'expression_NOUN')",1
73707,"('good_ADJ', 'news_NOUN', 'Charlie_NOUN')",1
73469,"('legal_ADJ', 'adult_ADJ', 'daughter_NOUN')",1
73480,"('day_NOUN', ""'_PART"", 'time_NOUN')",1
73420,"('phone_NOUN', 'go_VERB', 'dead_NOUN')",1
73560,"('father_NOUN', ""'s_PART"", 'boot_NOUN')",1
73571,"('already_ADJ', 'open_ADJ', 'door_NOUN')",1
73531,"('cool_NOUN', 'firm_ADJ', 'grasp_NOUN')",1
75627,"('warm_NOUN', 'breakable_ADJ', 'pheromone_ADJ')",1
75629,"('pheromone_ADJ', 'riddle_VERB', 'body_NOUN')",1
75575,"('wild_ADJ', 'early_ADJ', 'day_NOUN')",1
75582,"('biggest_ADJ', 'personality_NOUN', 'trait_NOUN')",1
75733,"('place_NOUN', '2_NUM', 'long_ADJ')",1
75406,"('cloud_NOUN', 'cover_VERB', 'city_NOUN')",1
75374,"('whole_ADJ', 'wedding_NOUN', 'mess_NOUN')",1
76115,"('winter_NOUN', 'cold_ADJ', 'skin_NOUN')",1
76069,"('left_ADJ', 'pressed_ADJ', 'tighter_NOUN')",1
76082,"('face_NOUN', 'Bachelor_ADJ', 'party_NOUN')",1
75913,"('fact_NOUN', '-the_DET', 'existence_NOUN')",1
75889,"('winner_NOUN', 'us_DET', 'gaze_NOUN')",1
74850,"('middle_NOUN', 'age_VERB', 'child_NOUN')",1
74867,"('mistake_NOUN', 'well_ADV', 'sure_ADJ')",1
74907,"('body_NOUN', 'experience_NOUN', 'right_ADJ')",1
75239,"('pale_ADJ', 'gray_NOUN', 'tux_NOUN')",1
75295,"('white_ADJ', 'garment_NOUN', 'bag_NOUN')",1
74973,"('hour_NOUN', 'every_DET', 'day_NOUN')",1
75134,"('Alice_NOUN', ""'s_PART"", 'trilling_NOUN')",1
75090,"('house_NOUN', 'mutter_VERB', 'thing_NOUN')",1
60377,"('digital_ADJ', 'medium_NOUN', 'library_NOUN')",1
60358,"('dimensional_ADJ', 'graphical_ADJ', 'user_NOUN')",1
60389,"('virtual_ADJ', 'desktop_NOUN', 'implementation_NOUN')",1
60310,"('datum_NOUN', 'include_VERB', 'calendar_NOUN')",1
60482,"('file_NOUN', 'include_VERB', 'video_NOUN')",1
60507,"('rapid_ADJ', 'real-time_NOUN', 'search_NOUN')",1
60493,"('Spotlight_ADJ', 'search_NOUN', 'technology_NOUN')",1
60492,"('application_NOUN', 'Spotlight_ADJ', 'search_NOUN')",1
60491,"('parent_ADJ', 'application_NOUN', 'Spotlight_ADJ')",1
60414,"('backup_NOUN', 'technology_NOUN', 'call_ADJ')",1
60413,"('automatic_ADJ', 'backup_NOUN', 'technology_NOUN')",1
60447,"('browser_NOUN', 'allow_VERB', 'quick_ADJ')",1
60441,"('time_NOUN', '55_NUM', 'Finder_NOUN')",1
60103,"('application_NOUN', 'adding_VERB', 'consistency_NOUN')",1
60136,"('internal_ADJ', 'image_NOUN', 'model_NOUN')",1
60257,"('full_ADJ', 'scree_ADJ', 'group_NOUN')",1
60262,"('application_NOUN', 'cal_VERB', 'desktop_NOUN')",1
60280,"('medium_NOUN', 'viewer_NOUN', 'interface_NOUN')",1
60230,"('user_NOUN', ""'s_PART"", 'file_NOUN')",1
60237,"('Aes-128_NOUN', '47_NUM', 'feature_NOUN')",1
60235,"('Encryption_NOUN', 'standard_PROPN', 'Aes-128_NOUN')",1
60773,"('Apple_NOUN', 'make_VERB', 'many_ADJ')",1
60768,"('first_ADJ', 'public_ADJ', 'availability_NOUN')",1
60511,"('datum_NOUN', 'file_NOUN', 'mail_ADJ')",1
60736,"('new_ADJ', 'operat_ADJ', 'system_NOUN')",1
60900,"('frequent_ADJ', 'edit_PRON', 'version_NOUN')",1
60894,"('fix_NOUN', 'kernel_ADJ', 'panic_NOUN')",1
60893,"('bug_NOUN', 'fix_NOUN', 'kernel_ADJ')",1
60708,"('direct_NOUN', ""'s_PART"", 'trademark_NOUN')",1
60569,"('big_ADJ', 'cat_NOUN', 'prior_NOUN')",1
60563,"('origin_ADJ', 'public_ADJ', 'betum_NOUN')",1
60522,"('property_NOUN', 'metum_ADP', 'datum_NOUN')",1
60513,"('mail_ADJ', 'message_NOUN', 'photo_NOUN')",1
60512,"('file_NOUN', 'mail_ADJ', 'message_NOUN')",1
60551,"('task_NOUN', '61_NUM', 'version_NOUN')",1
60674,"('direct_NOUN', 'sue_VERB', 'Apple_NOUN')",1
60700,"('Apple_NOUN', ""'s_PART"", 'use_NOUN')",1
