,quadragram,PMI
156,"('average', 'guess', 'x', 'guess')",25.318096418767954
157,"('you', 'cry', 'tonay', 'there')",25.289338568322222
158,"('not', 'you', 'cry', 'tonay')",25.24526359398021
159,"('my', 'mind', 'tell', 'everyone')",25.176996885436232
160,"('Baby', 'join', 'i', 'in')",25.13157765819471
161,"('lie', 'you', 'will', 'wake')",25.125128959249423
162,"('scheme', 'dialect', 'of', 'Lisp')",25.08440218777396
163,"('have', 'fail', 'us', 'mother')",25.067895118739774
164,"('enough', 'guess', 'x', '<')",25.057635956597988
165,"('the', 'half', 'interval', 'method')",25.024364487007855
166,"('engineering', 'and', 'computer', 'science')",25.014893390596008
167,"('break', 'inside', 'with', 'no')",24.9798990345875
168,"('-iter', 'guess', 'x', 'if')",24.95810028304707
169,"('guess', 'x', 'average', 'guess')",24.90305891948911
170,"('guess', 'x', 'guess', 'sqrt')",24.90305891948911
171,"('define', 'sqrt', 'x', 'fix')",24.88304539339415
172,"('we', 'control', 'complexity', 'by')",24.814421141700834
173,"('the', 'lion', '’s', 'share')",24.7828793846758
174,"('define', 'improve', 'guess', 'x')",24.774388329874682
175,"('nobody', ""'s"", 'home', 'it')",24.702232075809096
176,"('their', 'bomb', 'and', 'their')",24.684161739378936
177,"('mind', 'lord', 'I', ""'"")",24.63935243866949
178,"('1.0', 'x', '+', 'x')",24.626253131255194
179,"('x', '1.0', 'x', '+')",24.626253131255194
180,"('recursive', 'process', 'exercise', '1')",24.587864183190494
181,"('moment', 'the', 'slip', 'away')",24.509791314178088
182,"('improve', 'guess', 'x', 'x')",24.50841664096134
183,"('my', 'child', 'why', 'don')",24.442066633303966
184,"('lord', 'I', ""'"", 'll')",24.406691681879217
185,"('not', 'you', 'die', 'tonight')",24.37079447606407
186,"('mind', 'tell', 'everyone', 'in')",24.355379649785824
187,"('you', 'cry', 'tonight', '')",24.33570853146026
188,"('lambdum', 'x', '+', 'x')",24.19329372397909
189,"('never', 'fire', 'to', 'begin')",24.192086156370365
190,"('’s', 'nothing', 'wrong', 'with')",24.140112092712787
191,"('define', 'good', 'enough', 'guess')",24.130962567568947
192,"('good', 'enough', 'guess', 'x')",24.128025284489386
193,"('as', 'a', 'building', 'block')",24.116510778137332
194,"('in', 'section', '1', '1.7')",24.0917708083319
195,"('=', 'kind', 'of', 'coin')",23.98048807371248
196,"('iterative', 'process', 'write', 'one')",23.974563422697354
197,"('university', 'of', 'California', 'at')",23.942520223513448
198,"('not', 'worth', 'live', 'this')",23.93661871862642
199,"('cry', 'tonay', 'there', 'be')",23.9308552149179
200,"('the', 'Massachusetts', 'institute', 'of')",23.92839542847712
201,"('0', 'we', 'shall', 'count')",23.887690040592656
202,"('generate', 'a', 'iterative', 'process')",23.88534814717316
203,"('you', 'die', 'tonight', 'for')",23.876276912822966
204,"('line', 'hold', 'the', 'line')",23.872844519662387
205,"(""'s"", 'rock', 'n', ""'"")",23.851496720146205
206,"('join', 'i', 'in', 'death')",23.851469739001978
207,"('not', 'you', 'cry', 'tonight')",23.830226094701363
208,"('brick', 'wall', 'be', 'there')",23.82233075813973
209,"('enough', 'guess', 'x', 'guess')",23.77752803740525
210,"('wait', 'watch', 'and', 'wait')",23.751617441935927
211,"('arm', 'into', 'the', 'sky')",23.739402718474434
212,"('logarithmic', 'number', 'of', 'step')",23.6778366887821
213,"('square', 'guess', 'x', '0')",23.67604494041229
214,"('have', 'fail', 'us', 'world')",23.652857619460924
215,"('live', 'this', 'live', '')",23.634746233327714
216,"('the', 'secretary', 'of', 'defense')",23.60646733358976
217,"('inside', 'with', 'no', 'place')",23.60138741133377
218,"('recursive', 'process', 'write', 'one')",23.59269278735371
219,"('you', 'can', 'stop', 'It')",23.588898850181135
220,"('not', 'you', 'die', 'Baby')",23.563439554006457
221,"('5', '1', '5', '2')",23.521437917891394
222,"('and', 'wait', 'for', 'redemption')",23.50731024417104
223,"('Newton', ""'s"", 'method', 'as')",23.492124452560834
225,"('the', 'greatest', 'Song', 'in')",23.476123601412695
224,"('greatest', 'Song', 'in', 'the')",23.476123601412695
226,"('hold', 'the', 'line', 'hold')",23.430326283961435
227,"('y', '=', 'x', 'y')",23.40438106882101
228,"('x', '+', 'x', '4')",23.393592374464927
229,"('x', 'average', 'guess', 'x')",23.3709131172114
230,"('no', 'sun', 'how', 'do')",23.35292839712124
231,"('a', 'linear', 'recursive', 'process')",23.347358309912227
232,"('define', 'f', 'x', 'y')",23.319786628841584
233,"('+', '5', '1', '5')",23.312623903055485
234,"('the', 'fight', 'one', '21')",23.261336596255447
235,"('Song', 'in', 'the', 'World')",23.253731180076244
236,"('one', 'part', 'the', 'Pope')",23.249263763954875
237,"('go', 'to', 'Carnegie', 'Mellon')",23.244724143596308
238,"('ll', 'find', 'maybe', 'in')",23.238411582754154
239,"('if', 'good', 'enough', 'guess')",23.16267142729628
240,"('y', '+', 'x', 'y')",23.13929883433836
241,"('do', 'J.D.', ""'s"", 'Narration')",23.122070561351762
242,"('my', 'mind', 'lord', 'I')",23.100355791900512
243,"('order', 'shall', 'be', 'address')",23.099135744461098
244,"('<', 'x', '0', 'x')",23.080705311647378
245,"('a', 'building', 'block', 'in')",23.036004814910687
246,"('the', 'garden', 'of', 'Eden')",23.021504832868604
247,"('nothing', 'wrong', 'with', 'i')",23.01047681229619
248,"('first', 'kind', 'of', 'coin')",23.006960285073667
249,"('it', ""'s"", 'cloudy', 'now')",22.96179572994317
250,"('to', 'dry', 'her', 'eyes')",22.91993319051658
251,"('generate', 'a', 'recursive', 'process')",22.91851501110836
252,"('said', 'we', 'be', 'lost')",22.89500925888112
253,"('define', 'cube', 'x', 'x')",22.863730904343242
254,"('garden', 'of', 'Eden', 'and')",22.84186719218817
255,"('brief', 'the', 'secretary', 'of')",22.799112411532157
256,"('see', 'that', 'day', 'lost')",22.728638847413112
257,"('define', 'pi-sum', 'a', 'b')",22.717539163651768
258,"('provide', 'a', 'framework', 'for')",22.676973490018526
259,"('Fuehrer', 'one', 'part', 'the')",22.664301263233714
260,"('part', 'the', 'Fuehrer', 'one')",22.664301263233714
261,"('the', 'Fuehrer', 'one', 'part')",22.664301263233714
262,"('square', '+', '5', '1')",22.62157414394464
263,"('a', 'tree', 'recursive', 'process')",22.555944931723648
264,"('2', 'y', '+', 'x')",22.50776951516275
265,"('model', 'for', 'procedure', 'application')",22.5008609931948
266,"('down', 'you', 'arm', 'give')",22.50060832994801
267,"('software', 'engineer', 'need', 'to')",22.475385808965267
268,"('1', '2', 'y', '+')",22.417719910520326
269,"('', 'Will', 'not', 'you')",22.386246552100108
270,"('why', 'can’t', 'you', 'see')",22.381705901090918
271,"('am', 'I', 'just', 'like')",22.376318032835698
272,"('up', 'generation', 'it', ""'s"")",22.360312505734267
273,"('its', 'argument', 'by', '1')",22.307455593901647
274,"('lost', 'in', 'the', 'garden')",22.298585415860515
275,"('laughter', 'show', 'slide', 'of')",22.294378090541013
276,"('way', 'child', 'and', 'man')",22.282131744501353
277,"('I', 'couldn', '’t', 'imagine')",22.27806581432097
278,"('one', 'part', 'the', 'Fuehrer')",22.24926376395487
279,"('us', 'world', 'science', 'have')",22.202196210451362
280,"('write', 'one', 'that', 'generate')",22.189234806969754
281,"('cube', 'x', 'x', 'x')",22.182721716151054
282,"('number', 'of', 'step', 'require')",22.163263515952345
283,"('have', 'put', 'in', 'significant')",22.14970462339431
284,"('J.D.', ""'s"", 'Narration', 'I')",22.128593684933104
285,"('congruent', 'to', 'a', 'modulo')",22.103888243013998
286,"('the', 'Pope', 'the', 'inevitable')",22.091376454696924
287,"('the', 'smallest', 'divisor', 'procedure')",22.0386279446819
288,"('a', 'heaven', 'above', 'you')",22.03698390896991
289,"('', 'can', 'not', 'stop')",22.035148605511875
290,"('you', 'will', 'wake', 'up')",22.000800824247218
291,"('will', 'wake', 'up', 'in')",21.999821730187996
292,"('“I', 'don', '’t', 'know')",21.895133104814526
293,"('the', 'unfolding', 'I', 'faith')",21.89399140953434
294,"('x', 'define', 'good', 'enough')",21.861851171125025
295,"('describe', 'in', 'section', '1')",21.84384329488832
296,"('of', 'the', 'dead', 'blackened')",21.84093258722678
297,"('thus', 'we', 'can', 'compute')",21.84046691655401
298,"('then', 'f', 'must', 'have')",21.82781567951418
299,"('wave', '', 'can', 'not')",21.787221092068293
300,"('J.D.', ""'s"", 'Narration', 'you')",21.752346955368015
301,"('up', 'you', 'arm', 'into')",21.67887272935986
302,"('x', 'y', '1', '0')",21.668727612117593
303,"('whippe', 'dance', 'of', 'the')",21.642993209614882
304,"('place', 'where', 'I', 'become')",21.621011690477417
305,"('topic', 'be', 'concerned', 'with')",21.596867451065936
306,"('way', 'to', 'change', 'amount')",21.573065409113987
307,"('y', 'x', 'y', '1')",21.56919193856668
308,"('tonight', '', 'do', 'not')",21.563325080141457
309,"('+', '1', 'x', 'y')",21.558923603112856
310,"('the', 'software', 'engineer', 'need')",21.548824045813777
311,"('order', 'of', 'growth', 'n')",21.540717202292043
